Test ID,Test Case Name,Test Case Description,Expected Result,Actual Result
1,General Test,,,
1.1,Flexibility,"defining and updating rules, fees, commissions, 
and charges without the need 
of code changes using the built-in rule engine.",Successful,Successful
1.2,"Integration with loyality, instant and bulk issuance","Check integration, and if modules work together",Successful,Successful
1.3,PCI compliance,"PCI compliance rules will be checked such as, PIN hide, PAN number hide and other rules",Successful,Successful
1.4,Instant issuance flow and rules,"Issuing cards instantly at the branch, kiosk",Successful,Successful
1.5,Capture customer card request from web services,Internal bank team approve the request,Successful,Successful
1.7,Risk management and Preferences,,Successful,Successful
,,,,
1.2,Wallet Management,,,
1.2.1,Account creation,Add customer information to the cortex for wallet use to create an account,wallet customer account is successfully created,Successful
1.2.2,Top up,,,
1.2.3,Load/unload cash,Add cash to the wallet and decrease the value when customer withdraw the money,Successful,Successful
,,,,
1.3,Debit Scope ,,,
1.3.1,Customer onboarding and Account management;,"Customer information(name, address) will be registered to the cortex.",Customer information will be created on the cortex and account management services will be available for administrator,Successful
1.3.1.1,Onboarding using cortex GUI,"Customer information(name, address) will be registered to the cortex.",customer onboarded,Successful
1.3.1.1.1,Onboarding using Webservices/REST API,"Customer information(name, address) will be registered to the cortex.",customer onboarded,Successful
1.3.1.1.2,Onbording usig KIOSK,"Customer information(name, address) will be registered to the cortex.",customer onboarded,Successful
1.3.1.1.3,chatbot,"Customer information(name, address) will be registered to the cortex.",customer onboarded,Successful
1.3.1.1.4,ITM,"Customer information(name, address) will be registered to the cortex.",customer onboarded,Successful
1.3.1.1.5,Online Banking,"Customer information(name, address) will be registered to the cortex.",customer onboarded,Successful
1.3.1.1.6,Mobile App,"Customer information(name, address) will be registered to the cortex.",customer onboarded,Successful
,,,,
1.3.2,Card creation and Management (Digital/Physical);,"card creation by giving account/customer information and generating cvv, cvv, expiry date, and etc",card information will be created on cortex and card management services will be available for administrator,Successful
1.3.2.1,Local card creation,different product card creation for issuing,local card information created with different existing bank productst,Successful
